ID;DESCRIPTION;Attribut1;Additional Feature;Application;Characteristic;Temp;Height;Length in mm;Rating;Material;Size;Code;Joule-integral-Nom (J);LC Risk;Maximum AC Voltage Rating;Maximum DC Voltage Rating;Maximum Power Dissipation;Mounting;Mounting Feature;Number of Terminals;Operating Temperature-Max (Cel);Operating Temperature-Min (Cel);Physical Dimension;Pre-arcing time-Min (ms);Product Diameter;Product Length;Rated Breaking Capacity (A);Rated Current (A);Rated Voltage (V);Rated Voltage(AC) (V);Rated Voltage(DC) (V)
A835;Indicator Chip Very Fast Movement 3A 125V SMD Solder Pad 2410 Ceramic CE/CSA/PSE/UL ;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;;;;;3A;Ceramic;6.1 X 2.69mm;;;High;125V;125V;;Surface Mount;;2;;;;;;6.1mm;;;;;
A836;Indicator Chip Very Fast Movement 3A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 3A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;3A;Ceramic;6.1 X 2.69mm;e0;1.65J;High;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;3A;125V;125V;125V
A837;Indicator Chip Very Fast Movement 3A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 3A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 125 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;3A;Ceramic;NANO;e4;1.65J;Low;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;3A;125V;125V;125V
A838;Indicator Chip Very Fast Movement 3A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 3A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;3A;Ceramic;6.1 X 2.69mm;e0;1.65J;High;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;3A;125V;125V;125V
A839;Indicator Chip Very Fast Movement 3A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 3A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 125 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;3A;Ceramic;6.1 X 2.69mm;e4;1.65J;Low;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;3A;125V;125V;125V
A840;;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;;;;;3A;Ceramic;6.1 X 2.69mm;;;;125V;125V;;Surface Mount;;2;;;;;;6.1mm;;;;;
A841;Indicator Chip Very Fast Movement 4A 125V SMD Solder Pad 2410 Ceramic CE/CSA/PSE/UL Electric Indicator;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;;;;;4A;Ceramic;6.1 X 2.69mm;e0;;High;125V;125V;;Surface Mount;;2;;;;;;6.1mm;;;;;
A842;;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;;;;;4A;Ceramic;6.1 X 2.69mm;;;;125V;125V;;Surface Mount;;2;;;;;;6.1mm;;;;;
A843;Indicator Chip Very Fast Movement 4A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 4A, 50A (IR), NANO;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;4A;Ceramic;6.1 X 2.69mm;e0;;High;125V;125V;;Surface Mount;;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;4A;125V;;
A844;Indicator Chip Very Fast Movement 4A 125V SMD Solder Pad 2410 Ceramic T/R Automotive CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 4A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;4A;Ceramic;NANO;e4;3.152J;Low;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;4A;125V;125V;125V
A845;Indicator Chip Very Fast Movement 4A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 4A, 50A (IR), NANO;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;4A;Ceramic;6.1 X 2.69mm;e0;;High;125V;125V;;Surface Mount;;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;4A;125V;;
A846;Indicator Chip Very Fast Movement 4A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 4A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 125 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;4A;Ceramic;6.1 X 2.69mm;e4;3.152J;Low;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;4A;125V;125V;125V
A847;;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;;;;;4A;Ceramic;6.1 X 2.69mm;;;;125V;125V;;Surface Mount;;2;;;;;;6.1mm;;;;;
A848;Indicator Chip Very Fast Movement 5A 125V SMD Solder Pad 2410 Ceramic CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;PRE ARCING TIME: OPEN WITHIN 14400 SEC AT 100% RATED CURRENT;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;5A;Ceramic;NANO;e0;5.566J;High;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;5A;125V;125V;125V
A849;;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;;;;;5A;Ceramic;6.1 X 2.69mm;;;;125V;125V;;Surface Mount;;2;;;;;;6.1mm;;;;;
A850;Indicator Chip Very Fast Movement 5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;5A;Ceramic;6.1 X 2.69mm;e0;5.566J;High;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;5A;125V;125V;125V
A851;Indicator Chip Very Fast Movement 5A 125V SMD Solder Pad 2410 Ceramic T/R Automotive CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 125 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;5A;Ceramic;NANO;e4;5.566J;Low;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;5A;125V;125V;125V
A852;Indicator Chip Very Fast Movement 5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;5A;Ceramic;6.1 X 2.69mm;e0;5.566J;High;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;5A;125V;125V;125V
A853;Indicator Chip Very Fast Movement 5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 125 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;5A;Ceramic;NANO;e4;5.566J;Low;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;5A;125V;125V;125V
A854;Indicator Chip Very Fast Movement 7A 125V SMD Solder Pad 2410 Ceramic CE/CSA/PSE/UL ;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;;;;;7A;Ceramic;6.1 X 2.69mm;;;High;125V;125V;;Surface Mount;;2;;;;;;6.1mm;;;;;
A855;Indicator Chip Very Fast Movement 7A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 7A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;7A;Ceramic;6.1 X 2.69mm;e0;10.32J;High;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;7A;125V;125V;125V
A856;Indicator Chip Very Fast Movement 7A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 7A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 125 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;7A;Ceramic;NANO;e4;10.32J;Low;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;7A;125V;125V;125V
A857;Indicator Chip Very Fast Movement 7A 125V SMD Solder Pad 2410 Ceramic T/R CSA/PSE/UL Electric Indicator, Very Fast Blow, 7A, 50A (IR), NANO;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;7A;Ceramic;6.1 X 2.69mm;;;Low;125V;125V;;Surface Mount;;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;7A;125V;;
A858;Indicator Chip Very Fast Movement 7A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 7A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;7A;Ceramic;6.1 X 2.69mm;e0;10.32J;High;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;7A;125V;125V;125V
A859;Indicator Chip Very Fast Movement 7A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 7A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 125 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;7A;Ceramic;NANO;e4;10.32J;Low;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;7A;125V;125V;125V
A860;;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;;;;;7A;Ceramic;6.1 X 2.69mm;;;;125V;125V;;Surface Mount;;2;;;;;;6.1mm;;;;;
A861;;;;;VERY FAST;2.69mm;2.69mm;6.1mm;;;NANO;e0;;High;;;;;;;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;;50A;8A;125V;;
A862;Indicator Chip Very Fast Movement 8A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 8A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;8A;Ceramic;6.1 X 2.69mm;e0;20.23J;High;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;8A;125V;125V;125V
A863;Indicator Chip Very Fast Movement 8A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 8A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 125 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;8A;Ceramic;NANO;e4;20.23J;Low;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;8A;125V;125V;125V
A864;Indicator Chip Very Fast Movement 8A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 8A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 125 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;8A;Ceramic;NANO;e4;20.23J;Low;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;8A;125V;125V;125V
A865;;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;;;;;8A;Ceramic;6.1 X 2.69mm;;;;125V;125V;;Surface Mount;;2;;;;;;6.1mm;;;;;
A866;;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;;;;;10A;Ceramic;6.1 X 2.69mm;;;;125V;125V;;Surface Mount;;2;;;;;;6.1mm;;;;;
A867;Indicator Chip Very Fast Movement 10A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 10A, 125VAC, 125VDC, 35A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 125 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;10A;Ceramic;6.1 X 2.69mm;e0;26.46J;High;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;35A;10A;125V;125V;125V
A868;Indicator Chip Very Fast Movement 10A 125V SMD Solder Pad 2410 Ceramic T/R CSA/PSE/UL Electric Indicator, Very Fast Blow, 10A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 125 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;10A;Ceramic;NANO;e4;26.46J;Low;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;10A;125V;125V;125V
A869;Indicator Chip Very Fast Movement 10A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 10A, 125VAC, 125VDC, 35A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 125 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;10A;Ceramic;6.1 X 2.69mm;e0;26.46J;High;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;35A;10A;125V;125V;125V
A870;Indicator Chip Very Fast Movement 10A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 10A, 125VAC, 125VDC, 35A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 125 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;10A;Ceramic;NANO;e4;26.46J;Low;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;35A;10A;125V;125V;125V
A871;;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;;;;;10A;Ceramic;6.1 X 2.69mm;;;;125V;125V;;Surface Mount;;2;;;;;;6.1mm;;;;;
A872;Indicator Chip Very Fast Movement 12A 65V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 12A, 65VAC, 65VDC, 50A (IR), Surface Mount, NANO;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;12A;Ceramic;6.1 X 2.69mm;e0;47.97J;High;65V;65V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;12A;65V;65V;65V
A873;Indicator Chip Very Fast Movement 12A 65V SMD Solder Pad 2410 Ceramic T/R Automotive CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 12A, 65VAC, 65VDC, 50A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 65 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;12A;Ceramic;NANO;e4;47.97J;Low;65V;65V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;12A;65V;65V;65V
A874;Indicator Chip Very Fast Movement 12A 65V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 12A, 65VAC, 65VDC, 50A (IR), Surface Mount, NANO;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;12A;Ceramic;6.1 X 2.69mm;e0;47.97J;High;65V;65V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;12A;65V;65V;65V
A875;Indicator Chip Very Fast Movement 12A 65V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 12A, 65VAC, 65VDC, 50A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 65 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;12A;Ceramic;NANO;e4;47.97J;Low;65V;65V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;12A;65V;65V;65V
A876;;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;;;;;12A;Ceramic;6.1 X 2.69mm;;;;65V;65V;;Surface Mount;;2;;;;;;6.1mm;;;;;
A877;Indicator Chip Very Fast Movement 1.5A 125V SMD Solder Pad 2410 Ceramic CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 15A, 65VAC, 65VDC, 100A (IR), Surface Mount;Very Fast;INTERRUPTING CURRENT-MAX(DC): 150 A, PRE ARCING TIME: OPEN WITHIN 14400 SEC AT 100% RATED CURRENT;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;1.5A;Ceramic;6.1 X 2.69mm;e0;97.82J;High;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;100A;15A;;65V;65V
A878;;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;;;;;15A;Ceramic;6.1 X 2.69mm;;;;65V;65V;;Surface Mount;;2;;;;;;6.1mm;;;;;
A879;Indicator Chip Very Fast Movement 15A 65V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 1.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;15A;Ceramic;6.1 X 2.69mm;e0;97.82J;High;65V;65V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;15A;65V;65V;65V
A880;Indicator Chip Very Fast Movement 15A 65V SMD Solder Pad 2410 Ceramic T/R CSA/PSE/UL Electric Indicator, Very Fast Blow, 1.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 65 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;1.5A;Ceramic;NANO;e4;97.82J;Low;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;15A;65V;65V;65V
A881;Indicator Chip Very Fast Movement 1.5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 15A, 65VAC, 65VDC, 50A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 125 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;15A;Ceramic;6.1 X 2.69mm;e0;0.853J;High;65V;65V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;1.5A;125V;125V;125V
A882;Indicator Chip Very Fast Movement 1.5A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 1.5A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 65 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;15A;Ceramic;NANO;e4;97.82J;Low;65V;65V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;15A;65V;65V;65V
A883;;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;;;;;15A;Ceramic;6.1 X 2.69mm;;;;65V;65V;;Surface Mount;;2;;;;;;6.1mm;;;;;
A884;Indicator Chip Very Fast Movement 1.6A 125V SMD Solder Pad 2410 Ceramic CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 1.6A;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;1.6A;Ceramic;6.1 X 2.69mm;e0;;High;125V;125V;;Surface Mount;;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;;1.6A;125V;;
A885;Indicator Chip Very Fast Movement 1.6A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 1.6A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;1.6A;Ceramic;6.1 X 2.69mm;e0;1.06J;High;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;1.6A;125V;125V;125V
A886;Indicator Chip Very Fast Movement 1.6A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 1.6A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 125 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;1.6A;Ceramic;NANO;e4;1.06J;Low;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;1.6A;125V;125V;125V
A887;Indicator Chip Very Fast Movement 1.6A 125V SMD Solder Pad 2410 Ceramic T/R CE/CSA/PSE/UL Electric Indicator, Very Fast Blow, 1.6A, 125VAC, 125VDC, 50A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 125 VDC: 50 A;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;VERY FAST;2.69mm;2.69mm;6.1mm;1.6A;Ceramic;NANO;e4;1.06J;Low;125V;125V;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;6.1mm  x  2.69mm  x  2.69mm;;;6.1mm;50A;1.6A;125V;125V;125V
A888;;Very Fast;;Automotive|Battery Charging Circuit|Cooling Fan System|Networking|Power Supply|Telecommunication System;;;;;1.6A;Ceramic;6.1 X 2.69mm;;;;125V;125V;;Surface Mount;;2;;;;;;6.1mm;;;;;
